District,Name,lat,lon,soil_id,,
Belagavi,BEL40,16.413829,74.49563,,,40
Belagavi,BEL41,16.502088,74.640652,,,41
Belagavi,BEL42,16.549439,74.673091,,,42
Belagavi,BEL43,16.658586,74.78724,,,43
Belagavi,BEL44,16.723777,75.076747,,,44
Belagavi,BEL45,16.735787,75.233184,,,45
Belagavi,BEL46,16.733934,75.302362,,,46
Belagavi,BEL47,15.828379,75.319166,,,47
Belagavi,BEL48,15.803845,75.21868,,,48
Belagavi,BEL49,15.75817,75.096093,,,49
Belagavi,BEL50,15.727051,74.891055,,,50
Belagavi,BEL51,15.805102,74.817492,,,51
Belagavi,BEL52,15.902619,74.774398,,,52
Belagavi,BEL53,15.881094,74.65952,,,53
Belagavi,BEL54,16.160763,74.517976,,,54
Belagavi,BEL55,16.240509,74.513621,,,55
Belagavi,BEL56,16.238685,74.615867,,,56
Belagavi,BEL57,16.403695,74.622842,,,57
Belagavi,BEL58,16.53218,74.686014,,,58
Belagavi,BEL59,16.737832,75.161127,,,59
Belagavi,BEL60,16.7484,75.259786,,,60
Ahmednagar,AHM01,18.37550738,75.09918544,,,1
Ahmednagar,AHM02,18.41217593,75.00360249,,,2
Ahmednagar,AHM03,18.46217983,74.94151616,,,3
Ahmednagar,AHM04,18.52845393,74.98818502,,,4
Ahmednagar,AHM05,18.62531511,74.99175994,,,5
Ahmednagar,AHM06,18.67161003,74.94075238,,,6
Ahmednagar,AHM07,18.72339244,74.91883015,,,7
Ahmednagar,AHM08,18.7471774,74.98124381,,,8
Ahmednagar,AHM09,18.68498238,75.05606924,,,9
Ahmednagar,AHM10,18.6487394,75.09818747,,,10
Ahmednagar,AHM11,18.66998569,75.15840012,,,11
Ahmednagar,AHM12,18.73793648,75.29355277,,,12
Ahmednagar,AHM13,18.81905637,75.14925622,,,13
Ahmednagar,AHM14,18.85100143,75.109767,,,14
Ahmednagar,AHM15,18.89813826,75.06390662,,,15
Ahmednagar,AHM16,19.00893454,74.902016,,,16
Ahmednagar,AHM17,19.05666383,74.82139618,,,17
Ahmednagar,AHM18,19.69113614,74.48385715,,,18
Ahmednagar,AHM19,19.79065642,74.55116478,,,19
Ahmednagar,AHM20,19.68759902,74.4857713,,,20
Ahmednagar,AHM21,19.58598158,74.82710446,,,21
Ahmednagar,AHM22,19.40529037,75.13184572,,,22
Ahmednagar,AHM23,19.29807782,75.19252928,,,23
Ahmednagar,AHM24,19.18671323,75.12285955,,,24
Ahmednagar,AHM25,19.28407299,74.94439254,,,25
Ahmednagar,AHM26,19.27790545,74.8139985,,,26
Ahmednagar,AHM27,19.37023823,74.70949474,,,27
Ahmednagar,AHM28,19.37583302,74.47890925,,,28
Ahmednagar,AHM29,19.40272637,74.36699303,,,29
Ahmednagar,AHM30,19.27615779,74.35619634,,,30
Raichur,RAI01,16.19763,77.19378,,,1
Raichur,RAI02,16.19742,77.18246,,,2
Raichur,RAI03,16.19432,77.18022,,,3
Raichur,RAI04,16.18824,77.13818,,,4
Raichur,RAI05,16.17923,77.04753,,,5
Raichur,RAI06,16.17725,77.03957,,,6
Raichur,RAI07,16.11343,76.62779,,,7
Raichur,RAI08,16.1185,76.6132,,,8
Raichur,RAI09,16.11911,76.6134,,,9
Raichur,RAI10,16.12147,76.60539,,,10
Raichur,RAI11,16.12128,76.60404,,,11
Raichur,RAI12,16.12329,76.59953,,,12
Raichur,RAI13,16.12293,76.59787,,,13
Raichur,RAI14,16.1252,76.59357,,,14
Raichur,RAI15,16.14053,76.5598,,,15
Raichur,RAI16,16.14053,76.55874,,,16
Raichur,RAI17,16.19861,77.21681,,,17
Raichur,RAI18,16.1997,77.19997,,,18
Raichur,RAI19,16.20897,77.19777,,,19
Raichur,RAI20,16.19802,77.19482,,,20
Raichur,RAI21,16.19493,77.18217,,,21
Raichur,RAI22,16.19607,77.25022,,,22
Raichur,RAI23,16.19025,77.2494,,,23
Raichur,RAI24,16.17717,77.25178,,,24
Raichur,RAI25,16.17737,77.2525,,,25
Raichur,RAI26,16.16166,77.24834,,,26
Raichur,RAI27,16.1609,77.24274,,,27
Raichur,RAI28,16.19988,77.19993,,,28
Raichur,RAI29,16.16166,77.24834,,,29
Raichur,RAI30,16.1799,77.25046,,,30
Rajnandagao,RAJ01,21.1456,80.56645,,,1
Rajnandagao,RAJ02,21.14659,80.5661,,,2
Rajnandagao,RAJ03,21.14533,80.56538,,,3
Rajnandagao,RAJ04,21.14371,80.56472,,,4
Rajnandagao,RAJ05,21.14162,80.56606,,,5
Rajnandagao,RAJ06,21.14041,80.5677,,,6
Rajnandagao,RAJ07,21.14075,80.56956,,,7
Rajnandagao,RAJ08,21.14327,80.57149,,,8
Rajnandagao,RAJ09,21.14365,80.57803,,,9
Rajnandagao,RAJ10,21.14134,80.57896,,,10
Rajnandagao,RAJ11,21.14305,80.57708,,,11
Rajnandagao,RAJ12,21.13875,80.56894,,,12
Rajnandagao,RAJ13,21.14199,80.56289,,,13
Rajnandagao,RAJ14,21.14615,80.55971,,,14
Rajnandagao,RAJ15,21.14729,80.59048,,,15
Rajnandagao,RAJ16,21.15592,80.58358,,,16
Rajnandagao,RAJ17,21.15958,80.57909,,,17
Rajnandagao,RAJ18,21.15446,80.57026,,,18
Rajnandagao,RAJ19,21.15213,80.56042,,,19
Rajnandagao,RAJ20,21.14286,80.54947,,,20
Rajnandagao,RAJ21,21.13735,80.53739,,,21
Rajnandagao,RAJ22,21.12798,80.5354,,,22
Rajnandagao,RAJ23,21.12801,80.54724,,,23
Rajnandagao,RAJ24,21.13472,80.55612,,,24
Rajnandagao,RAJ25,21.13935,80.5587,,,25
Rajnandagao,RAJ26,21.03818,80.51698,,,26
Rajnandagao,RAJ27,21.04214,80.51572,,,27
Rajnandagao,RAJ28,21.04407,80.47555,,,28
Rajnandagao,RAJ29,21.04498,80.4539,,,29
Rajnandagao,RAJ30,21.03923,80.40524,,,30
Naguar,NAG01,26.77226,74.43233,,,1
Naguar,NAG02,26.74054,74.4065,,,2
Naguar,NAG03,26.7423,74.40154,,,3
Naguar,NAG04,26.62767,74.19618,,,4
Naguar,NAG05,26.74933,74.18325,,,5
Naguar,NAG06,26.78795,74.22688,,,6
Naguar,NAG07,26.74209,74.40977,,,7
Naguar,NAG08,26.77226,74.43233,,,8
Naguar,NAG09,26.77166,74.43439,,,9
Naguar,NAG10,26.79998,74.23855,,,10
Naguar,NAG11,26.77273,47.43463,,,11
Naguar,NAG12,26.77089,74.42734,,,12
Naguar,NAG13,26.75381,74.43324,,,13
Naguar,NAG14,26.78063,74.42837,,,14
Naguar,NAG15,26.66367,74.31238,,,15
Naguar,NAG16,26.66287,74.31137,,,16
Naguar,NAG17,26.64958,74.27593,,,17
Naguar,NAG18,26.59892,74.17314,,,18
Naguar,NAG19,26.6183,74.16373,,,19
Naguar,NAG20,26.61882,74.16225,,,20
Naguar,NAG21,26.62686,74.16018,,,21
Naguar,NAG22,26.64373,74.00105,,,22
Naguar,NAG23,26.64291,74.0007,,,23
Naguar,NAG24,26.771,74.46893,,,24
Naguar,NAG25,26.77121,74.4511,,,25
Naguar,NAG26,26.77063,74.51228,,,26
Naguar,NAG27,26.82605,74.65694,,,27
Naguar,NAG28,26.82686,74.65578,,,28
Naguar,NAG29,26.8249,74.65146,,,29
Naguar,NAG30,26.8375,74.72479,,,30
Osmanabad,OSM01,18.3173687,76.07697491,,,1
Osmanabad,OSM02,18.35206717,76.06244579,,,2
Osmanabad,OSM03,18.4649256,76.00807073,,,3
Osmanabad,OSM04,18.5943184,76.03605477,,,4
Osmanabad,OSM05,18.51163975,75.95153406,,,5
Osmanabad,OSM06,18.5197855,75.86915423,,,6
Osmanabad,OSM07,18.53691121,75.76929889,,,7
Osmanabad,OSM08,18.51088468,75.73608844,,,8
Osmanabad,OSM09,18.50151674,75.77862326,,,9
Osmanabad,OSM10,18.44430597,75.8409277,,,10
Osmanabad,OSM11,18.4480984,75.84217384,,,11
Osmanabad,OSM12,18.13492818,76.07406699,,,12
Osmanabad,OSM13,18.13680676,76.07349014,,,13
Osmanabad,OSM14,18.0105713,76.08240976,,,14
Osmanabad,OSM15,18.02636045,76.20160429,,,15
Osmanabad,OSM16,18.00769589,76.30034244,,,16
Osmanabad,OSM17,17.96118783,76.35360846,,,17
Osmanabad,OSM18,17.95603698,76.36553057,,,18
Osmanabad,OSM19,17.91358499,76.37179817,,,19
Osmanabad,OSM20,17.87758898,76.40621579,,,20
Osmanabad,OSM21,17.88270394,76.53230032,,,21
Osmanabad,OSM22,17.84851867,76.6100483,,,22
Osmanabad,OSM23,17.84459542,76.63087221,,,23
Osmanabad,OSM24,17.85568106,76.56013737,,,24
Osmanabad,OSM25,17.84527393,76.4176032,,,25
Osmanabad,OSM26,17.90803669,76.19351363,,,26
Osmanabad,OSM27,17.95508448,76.14295502,,,27
Osmanabad,OSM28,18.07411121,76.0872812,,,28
Osmanabad,OSM29,17.97148417,76.11499772,,,29
Osmanabad,OSM30,18.04498777,76.08543965,,,30
Buldana,BUL01,19.92499,76.12799,,,1
Buldana,BUL02,19.60367,76.12912,,,2
Buldana,BUL03,20.37906,76.33319,,,3
Buldana,BUL04,20.37915,76.33314,,,4
Buldana,BUL05,20.85613,76.21204,,,5
Buldana,BUL06,20.4881,76.20452,,,6
Buldana,BUL07,20.47384,76.22615,,,7
